"ID","TIPO GEOMETRIA","AÑO","IMAGEN","CAUSA","AREA_Ha","OBSERVACION","LATITUD","LONGITUD","MUNICIPIO"
"7463","Polygon","2.020","T18PTQ_20200201T153611_TCI_10m.jp2 - T18PTQ_20200112T153611_TCI_10m.jp2","Cultivo","0,126512","Ninguna","8° 22' 43,726"" N","77° 14' 19,019"" W","ACANDÍ"
"4659","Polygon","2.019","T18PTQ_20190527T153621_TCI_10m.jp2 - T18PTQ_20181014T153619_TCI.jp2","Cultivo","0,14072","Ninguna","8° 30' 47,551"" N","77° 19' 30,507"" W","ACANDÍ"
"7459","Polygon","2.020","T18PTQ_20200112T153611_TCI_10m.jp2 - T18PTQ_20191024T153621_TCI_10m.jp2","Cultivo","0,14125","Ninguna","8° 22' 30,966"" N","77° 13' 49,720"" W","ACANDÍ"
"9719","Polygon","2.021","T18PTQ_20201202T153619_TCI_10m.jp2 - T18PTQ_20210302T153619_TCI_10m.jp2","Cultivo","0,158066","Ninguna","8° 36' 11.256"" N","77° 20' 50.757"" W","ACANDÍ"
"7464","Polygon","2.020","T18PTQ_20200201T153611_TCI_10m.jp2 - T18PTQ_20200112T153611_TCI_10m.jp2","Cultivo","0,184549","Ninguna","8° 22' 22,008"" N","77° 14' 3,921"" W","ACANDÍ"
"7445","Polygon","2.020","T18PTQ_20200112T153611_TCI_10m.jp2 - T18PTQ_20191024T153621_TCI_10m.jp2","Cultivo","0,184854","Ninguna","8° 20' 7,286"" N","77° 12' 42,121"" W","ACANDÍ"
"7440","Polygon","2.020","T18PTQ_20201107T153621_TCI_10m.jp2 - T18PTQ_20200903T153619_TCI_10m.jp2 - T18PTQ_20191024T153621_TCI_10m.jp2","Cultivo","0,185392","Ninguna","8° 23' 18,620"" N","77° 14' 40,196"" W","ACANDÍ"
"7484","Polygon","2.020","T18PTQ_20200211T153611_TCI_10m.jp2 - T18PTQ_20200211T153611_TCI_10m.jp2","Cultivo","0,200436","Ninguna","8° 27' 50,102"" N","77° 21' 38,627"" W","ACANDÍ"
"7478","Polygon","2.020","T18PTQ_20200211T153611_TCI_10m.jp2 - T18PTQ_20191024T153621_TCI_10m.jp2","Cultivo","0,214739","Ninguna","8° 24' 2,397"" N","77° 9' 34,027"" W","ACANDÍ"
"4684","Polygon","2.019","T18PTQ_20190527T153621_TCI_10m.jp2 - T18PTQ_20181014T153619_TCI.jp2","Cultivo","0,217124","Ninguna","8° 29' 1,740"" N","77° 22' 8,066"" W","ACANDÍ"
"4719","Polygon","2.019","T18PTQ_20190407T153621_TCI_10m.jp2 - T18PTQ_20181014T153619_TCI.jp2","Ganadería","0,234319","Ninguna","8° 28' 33,947"" N","77° 15' 13,315"" W","ACANDÍ"
"7461","Polygon","2.020","T18PTQ_20200112T153611_TCI_10m.jp2 - T18PTQ_20191024T153621_TCI_10m.jp2","Cultivo","0,264092","Ninguna","8° 22' 23,660"" N","77° 14' 3,844"" W","ACANDÍ"
"7419","Polygon","2.020","T18PTQ_20201107T153621_TCI_10m.jp2 - T18PTQ_20200903T153619_TCI_10m.jp2 - T18PTQ_20191024T153621_TCI_10m.jp2","Cultivo","0,269658","Ninguna","8° 31' 23,497"" N","77° 23' 35,401"" W","ACANDÍ"
"4658","Polygon","2.019","T18PTQ_20190527T153621_TCI_10m.jp2 - T18PTQ_20181014T153619_TCI.jp2","Cultivo","0,279392","Ninguna","8° 30' 55,153"" N","77° 19' 39,360"" W","ACANDÍ"
"4726","Polygon","2.019","T18PTQ_20190407T153621_TCI_10m.jp2 - T18PTQ_20181014T153619_TCI.jp2","Ganadería","0,284863","Ninguna","8° 25' 48,509"" N","77° 11' 27,234"" W","ACANDÍ"
"7434","Polygon","2.020","T18PTQ_20201107T153621_TCI_10m.jp2 - T18PTQ_20200903T153619_TCI_10m.jp2 - T18PTQ_20191024T153621_TCI_10m.jp2","Cultivo","0,287808","Ninguna","8° 28' 48,205"" N","77° 15' 53,533"" W","ACANDÍ"
"7462","Polygon","2.020","T18PTQ_20200201T153611_TCI_10m.jp2 - T18PTQ_20200112T153611_TCI_10m.jp2","Cultivo","0,293221","Ninguna","8° 22' 26,779"" N","77° 14' 7,513"" W","ACANDÍ"
"4729","Polygon","2.019","T18PTQ_20190407T153621_TCI_10m.jp2 - T18PTQ_20181014T153619_TCI.jp2","Ganadería","0,295419","Ninguna","8° 26' 28,363"" N","77° 13' 1,112"" W","ACANDÍ"
"4739","Polygon","2.019","T18PTQ_20190407T153621_TCI_10m.jp2 - T18PTQ_20181228T153611_TCI.jp2","Ganadería","0,30872","Ninguna","8° 23' 32,584"" N","77° 11' 50,315"" W","ACANDÍ"
"4744","Polygon","2.019","T18PTQ_20190407T153621_TCI_10m.jp2 - T18PTQ_20181228T153611_TCI.jp2","Ganadería","0,313635","Ninguna","8° 23' 15,517"" N","77° 12' 28,232"" W","ACANDÍ"
"7397","Polygon","2.019","T18PTQ_20190527T153621_TCI_10m.jp2 - T18PTQ_20181014T153619_TCI.jp2","Cultivo","0,353495","Ninguna","8° 20' 26,869"" N","77° 6' 22,847"" W","ACANDÍ"
"4670","Polygon","2.019","T18PTQ_20190527T153621_TCI_10m.jp2 - T18PTQ_20181014T153619_TCI.jp2","Cultivo","0,355098","Ninguna","8° 30' 24,966"" N","77° 21' 58,005"" W","ACANDÍ"
"4664","Polygon","2.019","T18PTQ_20190527T153621_TCI_10m.jp2 - T18PTQ_20181014T153619_TCI.jp2","Cultivo","0,36828","Ninguna","8° 30' 30,398"" N","77° 21' 20,163"" W","ACANDÍ"
"7420","Polygon","2.020","T18PTQ_20201107T153621_TCI_10m.jp2 - T18PTQ_20200903T153619_TCI_10m.jp2 - T18PTQ_20191024T153621_TCI_10m.jp2","Cultivo","0,370806","Ninguna","8° 33' 1,024"" N","77° 23' 6,129"" W","ACANDÍ"
"4671","Polygon","2.019","T18PTQ_20190527T153621_TCI_10m.jp2 - T18PTQ_20181014T153619_TCI.jp2","Cultivo","0,370937","Ninguna","8° 30' 27,559"" N","77° 22' 0,577"" W","ACANDÍ"
"4717","Polygon","2.019","T18PTQ_20190407T153621_TCI_10m.jp2 - T18PTQ_20180721T153621_TCI.jp2","Cultivo","0,378119","Ninguna","8° 29' 24,905"" N","77° 15' 21,400"" W","ACANDÍ"
"7429","Polygon","2.020","T18PTQ_20201107T153621_TCI_10m.jp2 - T18PTQ_20200903T153619_TCI_10m.jp2 - T18PTQ_20191024T153621_TCI_10m.jp2","Cultivo","0,403927","Ninguna","8° 28' 14,778"" N","77° 14' 58,785"" W","ACANDÍ"
"4728","Polygon","2.019","T18PTQ_20190407T153621_TCI_10m.jp2 - T18PTQ_20181014T153619_TCI.jp2","Ganadería","0,406125","Ninguna","8° 26' 25,763"" N","77° 12' 12,191"" W","ACANDÍ"
"7423","Polygon","2.020","T18PTQ_20201107T153621_TCI_10m.jp2 - T18PTQ_20200903T153619_TCI_10m.jp2 - T18PTQ_20191024T153621_TCI_10m.jp2","Cultivo","0,411715","Ninguna","8° 38' 24,167"" N","77° 21' 11,517"" W","ACANDÍ"
"7469","Polygon","2.020","T18PTQ_20200211T153611_TCI_10m.jp2 - T18PTQ_20191024T153621_TCI_10m.jp2","Cultivo","0,417362","Ninguna","8° 22' 30,556"" N","77° 15' 14,070"" W","ACANDÍ"
"4711","Polygon","2.019","T18PTQ_20190527T153621_TCI_10m.jp2 - T18PTQ_20181014T153619_TCI.jp2","Cultivo","0,434029","Ninguna","8° 21' 55,833"" N","77° 10' 32,016"" W","ACANDÍ"
"4677","Polygon","2.019","T18PTQ_20190527T153621_TCI_10m.jp2 - T18PTQ_20181014T153619_TCI.jp2","Cultivo","0,437529","Ninguna","8° 29' 4,171"" N","77° 22' 4,908"" W","ACANDÍ"
"4743","Polygon","2.019","T18PTQ_20190407T153621_TCI_10m.jp2 - T18PTQ_20181228T153611_TCI.jp2","Ganadería","0,438635","Ninguna","8° 23' 12,679"" N","77° 12' 26,643"" W","ACANDÍ"
